natural_key,date,time,province,temp,cloud_description,min_temp,max_temp,humidity,vision,wind_spd,uv_index,atmosphere_quality
LAICHAU121020222059,12/10/2022,20:59,Lai Châu,23,Nhiều mây Cảm giác như 23°.,19,30,0.82,10 km,1.34 ,0,Trung bình
LAICHAU121020222100,12/10/2022,21:00,Lai Châu,null,Nhiều mây,23,23,0.82,10 km,1.34 ,0
LAICHAU121020222200,12/10/2022,22:00,Lai Châu,null,Nhiều mây,23,23,0.82,10 km,1.43 ,0
LAICHAU121020222300,12/10/2022,23:00,Lai Châu,null,Nhiều mây,23,23,0.83,10 km,1.4 ,0
LAICHAU131020220100,13/10/2022,01:00,Lai Châu,null,Nhiều mây,19,30,0.83,10 km,1.24 ,null
LAICHAU131020220400,13/10/2022,04:00,Lai Châu,null,Nhiều mây,19,30,0.83,10 km,1.1 ,null
LAICHAU131020220700,13/10/2022,07:00,Lai Châu,null,Nhiều mây,19,30,0.84,10 km,0.9 ,null
LAICHAU131020221000,13/10/2022,10:00,Lai Châu,null,Mây cụm,19,30,0.61,10 km,0.34 ,null
LAICHAU131020221300,13/10/2022,13:00,Lai Châu,null,Mây cụm,19,30,0.57,10 km,0.62 ,null
LAICHAU131020221600,13/10/2022,16:00,Lai Châu,null,Mây cụm,19,30,0.67,10 km,0.76 ,null
LAICHAU131020221900,13/10/2022,19:00,Lai Châu,null,Mây cụm,19,30,0.85,10 km,1.26 ,null
LAICHAU131020222200,13/10/2022,22:00,Lai Châu,null,Mây cụm,19,30,0.82,10 km,1.22 ,null
SONLA121020222059,12/10/2022,20:59,Sơn La,19,Mây thưa Cảm giác như 19°.,15,27,0.86,10 km,1.38 ,0,Kém
SONLA121020222100,12/10/2022,21:00,Sơn La,null,Mây thưa,19,19,0.86,10 km,1.37 ,0
SONLA121020222200,12/10/2022,22:00,Sơn La,null,Mây thưa,19,19,0.87,10 km,1.51 ,0
SONLA121020222300,12/10/2022,23:00,Sơn La,null,Mây thưa,19,19,0.88,10 km,1.49 ,0
SONLA131020220100,13/10/2022,01:00,Sơn La,null,Mây thưa,15,27,0.89,10 km,1.39 ,null
SONLA131020220400,13/10/2022,04:00,Sơn La,null,Mây cụm,15,27,0.89,10 km,1.35 ,null
SONLA131020220700,13/10/2022,07:00,Sơn La,null,Nhiều mây,15,27,0.83,10 km,1.07 ,null
SONLA131020221000,13/10/2022,10:00,Sơn La,null,Mây cụm,15,27,0.59,10 km,1.39 ,null
SONLA131020221300,13/10/2022,13:00,Sơn La,null,Mây rải rác,15,27,0.51,10 km,1.41 ,null
SONLA131020221600,13/10/2022,16:00,Sơn La,null,Bầu trời quang đãng,15,27,0.61,10 km,1.46 ,null
SONLA131020221900,13/10/2022,19:00,Sơn La,null,Bầu trời quang đãng,15,27,0.81,10 km,1.34 ,null
SONLA131020222200,13/10/2022,22:00,Sơn La,null,Bầu trời quang đãng,15,27,0.79,10 km,1.11 ,null
YENBAI121020222059,12/10/2022,20:59,Yên Bái,23,Mây rải rác Cảm giác như 23°.,19,29,0.72,10 km,1.2 ,0,Rất kém
YENBAI121020222100,12/10/2022,21:00,Yên Bái,null,Mây rải rác,23,23,0.72,10 km,1.2 ,0
YENBAI121020222200,12/10/2022,22:00,Yên Bái,null,Mây rải rác,22,23,0.72,10 km,1.09 ,0
YENBAI121020222300,12/10/2022,23:00,Yên Bái,null,Mây rải rác,22,22,0.73,10 km,1.39 ,0
YENBAI131020220100,13/10/2022,01:00,Yên Bái,null,Mây rải rác,19,29,0.74,10 km,1.52 ,null
YENBAI131020220400,13/10/2022,04:00,Yên Bái,null,Mây rải rác,19,29,0.76,10 km,0.29 ,null
YENBAI131020220700,13/10/2022,07:00,Yên Bái,null,Mây thưa,19,29,0.75,10 km,0.26 ,null
YENBAI131020221000,13/10/2022,10:00,Yên Bái,null,Bầu trời quang đãng,19,29,0.47,10 km,0.95 ,null
YENBAI131020221300,13/10/2022,13:00,Yên Bái,null,Bầu trời quang đãng,19,29,0.39,10 km,1.11 ,null
YENBAI131020221600,13/10/2022,16:00,Yên Bái,null,Bầu trời quang đãng,19,29,0.45,10 km,0.3 ,null
YENBAI131020221900,13/10/2022,19:00,Yên Bái,null,Mây rải rác,19,29,0.57,10 km,0.77 ,null
YENBAI131020222200,13/10/2022,22:00,Yên Bái,null,Mây thưa,19,29,0.63,10 km,0.69 ,null
HOABINH121020222059,12/10/2022,20:59,Hoà Bình,22,Mây thưa Cảm giác như 22°.,19,29,0.75,10 km,1.32 ,0,Rất kém
HOABINH121020222100,12/10/2022,21:00,Hoà Bình,null,Mây thưa,22,22,0.75,10 km,1.32 ,0
HOABINH121020222200,12/10/2022,22:00,Hoà Bình,null,Mây thưa,22,22,0.76,10 km,1.15 ,0
HOABINH121020222300,12/10/2022,23:00,Hoà Bình,null,Mây thưa,21,21,0.77,10 km,1.18 ,0
HOABINH131020220100,13/10/2022,01:00,Hoà Bình,null,Mây thưa,19,29,0.8,10 km,0.8 ,null
HOABINH131020220400,13/10/2022,04:00,Hoà Bình,null,Mây rải rác,19,29,0.82,10 km,0.99 ,null
HOABINH131020220700,13/10/2022,07:00,Hoà Bình,null,Mây rải rác,19,29,0.8,10 km,1.02 ,null
HOABINH131020221000,13/10/2022,10:00,Hoà Bình,null,Bầu trời quang đãng,19,29,0.47,10 km,1.39 ,null
HOABINH131020221300,13/10/2022,13:00,Hoà Bình,null,Bầu trời quang đãng,19,29,0.41,10 km,1.92 ,null
HOABINH131020221600,13/10/2022,16:00,Hoà Bình,null,Bầu trời quang đãng,19,29,0.47,10 km,1.25 ,null
